TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,category
TX000001,AC00128,14.09,4/11/2023 16:29,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,11/4/2024 8:08,Dining
TX000002,AC00455,376.24,6/27/2023 16:44,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,11/4/2024 8:09,Healthcare
TX000003,AC00019,126.29,7/10/2023 18:16,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,11/4/2024 8:07,Grocery
TX000004,AC00070,184.5,5/5/2023 16:32,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,11/4/2024 8:09,Electronics
TX000005,AC00411,13.45,10/16/2023 17:51,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,11/4/2024 8:06,Travel
TX000006,AC00393,92.15,4/3/2023 17:15,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,11/4/2024 8:06,Utilities
TX000007,AC00199,7.08,2/15/2023 16:36,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,11/4/2024 8:10,Travel
TX000008,AC00069,171.42,5/8/2023 17:47,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,11/4/2024 8:10,Healthcare
TX000009,AC00135,106.23,3/21/2023 16:59,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,11/4/2024 8:11,Travel
TX000010,AC00385,815.96,3/31/2023 16:06,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,11/4/2024 8:06,Dining
TX000011,AC00150,17.78,3/14/2023 16:46,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,11/4/2024 8:06,Grocery
TX000012,AC00459,190.02,2/6/2023 17:30,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,11/4/2024 8:07,Utilities
TX000013,AC00392,494.52,6/7/2023 17:21,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,11/4/2024 8:08,Grocery
TX000014,AC00264,781.76,11/20/2023 16:39,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,11/4/2024 8:07,Grocery
TX000015,AC00085,166.99,2/13/2023 16:53,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,11/4/2024 8:10,Grocery
TX000016,AC00270,465.45,12/12/2023 16:23,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,11/4/2024 8:12,Grocery
TX000017,AC00317,555.8,10/30/2023 16:52,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,11/4/2024 8:07,Retail
TX000018,AC00359,492.93,12/14/2023 18:32,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,11/4/2024 8:11,Travel
TX000019,AC00242,18.68,2/21/2023 16:56,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,11/4/2024 8:12,Utilities
TX000020,AC00285,71.48,6/8/2023 18:18,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,11/4/2024 8:09,Dining
TX000021,AC00002,59.32,2/28/2023 16:36,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,11/4/2024 8:09,Retail
TX000022,AC00014,85.77,8/11/2023 18:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,11/4/2024 8:08,Grocery
TX000023,AC00095,52.2,6/6/2023 18:54,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,11/4/2024 8:07,Utilities
TX000024,AC00453,345.84,5/2/2023 18:25,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,11/4/2024 8:07,Travel
TX000025,AC00241,145.54,3/2/2023 16:43,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,11/4/2024 8:07,Healthcare
TX000026,AC00041,7.49,10/20/2023 17:53,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,11/4/2024 8:09,Travel
TX000027,AC00441,246.93,4/17/2023 16:37,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,11/4/2024 8:11,Entertainment
TX000028,AC00057,40.32,3/29/2023 16:42,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,11/4/2024 8:11,Retail
TX000029,AC00390,127.45,1/24/2023 16:18,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,11/4/2024 8:11,Healthcare
TX000030,AC00313,56.17,9/20/2023 16:55,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,11/4/2024 8:08,Travel
TX000031,AC00367,28.31,7/17/2023 17:49,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,11/4/2024 8:09,Travel
TX000032,AC00291,59.12,2/6/2023 16:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,11/4/2024 8:06,Entertainment
TX000033,AC00060,396.45,9/25/2023 16:26,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,11/4/2024 8:11,Dining
TX000034,AC00359,877.81,3/13/2023 17:23,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399,11/4/2024 8:07,Utilities
TX000035,AC00365,255.26,10/27/2023 16:42,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,11/4/2024 8:10,Electronics
TX000036,AC00267,124.76,10/16/2023 16:32,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,11/4/2024 8:06,Electronics
TX000037,AC00404,78.13,11/21/2023 16:58,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,11/4/2024 8:12,Healthcare
TX000038,AC00202,649.28,3/2/2023 17:53,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,11/4/2024 8:11,Electronics
TX000039,AC00478,795.31,10/12/2023 17:07,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,11/4/2024 8:11,Retail
TX000040,AC00405,335.63,1/24/2023 17:17,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,11/4/2024 8:07,Retail
TX000041,AC00421,328.47,7/31/2023 18:39,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,11/4/2024 8:07,Utilities
TX000042,AC00480,34.02,1/9/2023 16:13,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,11/4/2024 8:11,Utilities
TX000043,AC00120,241.42,4/20/2023 18:57,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,11/4/2024 8:09,Healthcare
TX000044,AC00117,55.32,4/12/2023 16:03,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,11/4/2024 8:08,Grocery
TX000045,AC00011,304.31,7/26/2023 16:52,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,11/4/2024 8:09,Entertainment
TX000046,AC00401,435.27,10/4/2023 17:49,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,11/4/2024 8:11,Travel
TX000047,AC00282,164.49,12/13/2023 16:01,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,11/4/2024 8:10,Utilities
TX000048,AC00439,510.24,10/9/2023 16:29,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,11/4/2024 8:11,Electronics
